Fecha,Mes,Derivex_Max,Derivex_Min
2014-11,2015-08,146.93,139.76
2014-11,2015-09,149.15,141.61
2014-11,2015-10, 152.00   , 142.00   
2014-11,2015-11,151.0,146.0
2014-11,2015-12,151.0,146.0
2014-11,2016-01,151.0,146.0
2014-11,2016-02,163.18,151.5
2014-11,2016-03,163.18,151.5
2014-11,2016-04,163.18,151.5
2014-12,2014-12,198.91,177.25
2014-12,2015-01,220.07,200.0
2014-12,2015-02,235.43,208.0
2014-12,2015-03,206.93,190.13
2014-12,2015-04,188.99,169.9
2014-12,2015-05,164.42,140.0
2014-12,2015-06,141.19,129.0
2014-12,2015-07,140.0,129.0
2014-12,2015-08,145.58,137.75
2014-12,2015-09,149.35,142.89
2014-12,2015-10, 152.00   , 146.01   
2014-12,2015-11,160.83,146.68
2014-12,2015-12,153.5,149.95
2014-12,2016-01,153.5,149.95
2014-12,2016-02,153.5,150.0
2014-12,2016-03,152.51,150.0
2014-12,2016-04,152.51,150.0
2014-12,2016-05,151.55,150.0
2015-01,2015-01,210.0,189.07
2015-01,2015-02,230.0,208.0
2015-01,2015-03,217.34,190.25
2015-01,2015-04,201.84,172.0
2015-01,2015-05,178.01,140.0
2015-01,2015-06,150.11,129.0
2015-01,2015-07,150.22,129.0
2015-01,2015-08,154.47,140.0
2015-01,2015-09,152.0,145.06
2015-01,2015-10, 152.00   , 144.97   
2015-01,2015-11,160.0,147.84
2015-01,2015-12,160.0,150.0
2015-01,2016-01,172.08,150.0
2015-01,2016-02,172.08,150.0
2015-01,2016-03,172.08,150.0
2015-01,2016-04,160.0,149.86
2015-01,2016-05,160.0,149.86
2015-01,2016-06,160.0,149.86
2015-02,2015-02,200.0,163.46
2015-02,2015-03,205.0,175.52
2015-02,2015-04,190.61,170.17
2015-02,2015-05,168.81,152.0
2015-02,2015-06,142.0,133.94
2015-02,2015-07,144.59,140.0
2015-02,2015-08,152.0,142.32
2015-02,2015-09,151.51,145.06
2015-02,2015-10, 151.27   , 143.19   
2015-02,2015-11,154.58,142.06
2015-02,2015-12,161.19,150.0
2015-02,2016-01,162.64,155.0
2015-02,2016-02,165.41,157.13
2015-02,2016-03,165.41,157.13
2015-02,2016-04,165.41,157.31
2015-02,2016-05,150.0,145.5
2015-02,2016-06,150.0,145.5
